,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,sq,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Block Inc,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,58.43,,-0.84,-1.42%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"35,881M",-,2.34,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,sq,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Nov 21, 2022",64.60,64.94,60.80,61.85,"12,252,695"
,"Nov 22, 2022",61.53,63.07,60.10,62.72,"9,000,536"
,"Nov 23, 2022",62.64,64.26,61.92,63.92,"8,189,976"
,"Nov 25, 2022",63.99,63.99,62.51,63.38,"4,168,804"
,"Nov 28, 2022",61.91,63.83,61.12,61.37,"7,250,649"
,"Nov 29, 2022",62.07,63.89,61.73,62.11,"8,219,903"
,"Nov 30, 2022",62.10,68.00,61.85,67.77,"14,298,550"
,"Dec 1, 2022",68.02,69.24,66.66,69.17,"9,429,975"
,"Dec 2, 2022",67.27,68.94,66.62,68.18,"7,721,112"
,"Dec 5, 2022",67.40,67.86,62.40,63.14,"12,610,909"
,"Dec 6, 2022",63.12,63.88,60.20,61.30,"9,408,919"
,"Dec 7, 2022",60.83,61.85,59.62,61.07,"8,734,791"
,"Dec 8, 2022",61.60,63.70,60.50,63.37,"7,849,752"
,"Dec 9, 2022",63.10,65.83,63.10,64.60,"8,418,142"
,"Dec 12, 2022",63.79,66.71,63.36,66.20,"9,126,607"
,"Dec 13, 2022",70.37,72.37,68.80,71.03,"15,385,200"
,"Dec 14, 2022",71.07,72.47,69.64,71.25,"10,557,751"
,"Dec 15, 2022",68.49,69.35,65.43,65.89,"9,277,797"
,"Dec 16, 2022",64.98,65.17,60.71,62.51,"18,776,795"
,"Dec 19, 2022",62.24,62.40,59.99,60.44,"9,310,081"
,"Dec 20, 2022",59.34,61.87,58.90,61.41,"8,766,456"
,"Dec 21, 2022",61.74,63.33,60.63,62.58,"7,847,515"
,"Dec 22, 2022",61.20,61.20,58.62,60.59,"9,740,178"
,"Dec 23, 2022",59.88,60.94,58.82,60.89,"7,281,818"
,"Dec 27, 2022",60.21,61.06,58.34,59.86,"8,572,400"
,"Dec 28, 2022",59.00,60.24,58.40,59.08,"7,563,243"
,"Dec 29, 2022",60.00,63.47,59.90,62.92,"9,995,107"
,"Dec 30, 2022",61.05,63.10,60.80,62.84,"8,014,416"
,"Jan 3, 2023",66.30,67.50,62.50,64.64,"16,416,489"
,"Jan 4, 2023",65.79,68.12,64.78,66.30,"11,749,526"
,"Jan 5, 2023",64.85,65.56,63.02,64.71,"11,336,178"
,"Jan 6, 2023",65.28,69.50,63.36,68.99,"15,529,608"
,"Jan 9, 2023",69.70,70.61,68.44,69.06,"12,987,644"
,"Jan 10, 2023",68.68,70.19,67.66,70.03,"9,056,284"
,"Jan 11, 2023",70.96,71.89,70.02,71.67,"9,034,285"
,"Jan 12, 2023",71.88,72.11,68.11,71.80,"11,852,613"
,"Jan 13, 2023",69.81,71.99,69.51,71.65,"9,344,663"
,"Jan 17, 2023",72.36,75.21,71.73,75.10,"14,314,409"
,"Jan 18, 2023",75.29,76.22,72.07,72.11,"12,147,227"
,"Jan 19, 2023",70.80,71.79,69.24,70.94,"12,051,331"
,"Jan 20, 2023",71.70,76.19,71.04,76.16,"12,798,396"
,"Jan 23, 2023",76.84,81.67,76.72,81.66,"16,814,099"
,"Jan 24, 2023",80.16,82.73,79.51,80.79,"12,152,070"
,"Jan 25, 2023",77.00,81.04,74.77,80.77,"17,119,363"
,"Jan 26, 2023",83.03,83.91,78.32,81.19,"13,296,807"
,"Jan 27, 2023",80.69,85.50,80.67,83.83,"15,424,753"
,"Jan 30, 2023",81.93,83.24,79.64,79.79,"10,482,647"
,"Jan 31, 2023",80.88,82.32,80.20,81.72,"8,801,934"
,"Feb 1, 2023",82.07,84.76,80.06,83.90,"11,087,226"
,"Feb 2, 2023",86.80,89.97,86.22,88.41,"13,349,943"
,"Feb 3, 2023",84.90,87.98,84.25,84.71,"12,679,111"
,"Feb 6, 2023",82.69,83.70,81.31,82.55,"8,593,510"
,"Feb 7, 2023",82.08,83.86,80.66,83.18,"9,804,479"
,"Feb 8, 2023",82.90,84.29,81.12,81.13,"7,213,392"
,"Feb 9, 2023",81.35,82.08,75.60,76.18,"17,350,898"
,"Feb 10, 2023",75.10,76.01,74.14,75.23,"11,274,090"
,"Feb 13, 2023",75.51,77.57,74.74,76.82,"9,590,469"
,"Feb 14, 2023",76.04,79.45,75.55,78.80,"9,780,864"
,"Feb 15, 2023",78.70,82.70,78.53,82.69,"10,122,896"
,"Feb 16, 2023",80.27,81.33,78.50,78.63,"9,541,478"
,"Feb 17, 2023",76.97,77.03,74.17,75.02,"11,261,643"
,"Feb 21, 2023",73.09,74.49,71.92,71.95,"7,855,159"
,"Feb 22, 2023",72.72,73.68,71.80,72.94,"10,562,071"
,"Feb 23, 2023",74.27,74.89,71.84,74.15,"22,855,159"
,"Feb 24, 2023",77.47,78.02,73.52,77.36,"43,473,237"
,"Feb 27, 2023",77.29,77.73,74.86,75.14,"18,197,369"
,"Feb 28, 2023",75.33,78.02,74.52,76.73,"13,187,266"
,"Mar 1, 2023",76.31,76.73,74.65,76.63,"10,075,860"
