,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,nvda,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,NVIDIA Corp,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,499.10,,-4.99,-0.99%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"1,233,277M",120.54,1.69,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,nvda,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Nov 21, 2022",151.47,154.77,150.80,153.17,"40,473,931"
,"Nov 22, 2022",153.28,160.58,151.22,160.38,"47,286,607"
,"Nov 23, 2022",160.98,165.27,160.48,165.19,"42,724,093"
,"Nov 25, 2022",163.18,164.87,161.72,162.70,"16,793,430"
,"Nov 28, 2022",160.26,163.57,157.25,158.27,"30,415,201"
,"Nov 29, 2022",158.27,159.32,155.20,156.39,"29,838,449"
,"Nov 30, 2022",156.97,169.30,155.97,169.23,"56,529,822"
,"Dec 1, 2022",169.99,172.65,166.35,171.35,"47,097,657"
,"Dec 2, 2022",166.59,169.33,164.45,168.76,"37,138,858"
,"Dec 5, 2022",166.79,169.95,164.72,166.10,"35,225,517"
,"Dec 6, 2022",165.30,165.73,158.19,159.87,"35,269,427"
,"Dec 7, 2022",157.72,161.86,156.67,161.20,"37,238,758"
,"Dec 8, 2022",162.73,171.79,159.59,171.69,"51,545,554"
,"Dec 9, 2022",171.60,175.83,169.75,170.01,"46,533,819"
,"Dec 12, 2022",170.37,175.38,167.97,175.35,"45,732,780"
,"Dec 13, 2022",185.31,187.90,177.11,180.72,"65,658,876"
,"Dec 14, 2022",179.87,182.52,174.20,176.74,"49,688,810"
,"Dec 15, 2022",171.46,173.20,167.00,169.52,"47,854,210"
,"Dec 16, 2022",168.64,170.41,164.10,165.71,"47,823,193"
,"Dec 19, 2022",165.72,166.09,161.45,162.54,"35,403,877"
,"Dec 20, 2022",160.64,163.10,158.52,160.85,"40,325,979"
,"Dec 21, 2022",161.14,166.27,161.02,165.01,"32,502,538"
,"Dec 22, 2022",160.94,161.38,148.82,153.39,"56,504,527"
,"Dec 23, 2022",151.96,153.39,148.83,152.06,"34,932,563"
,"Dec 27, 2022",150.74,151.00,140.56,141.21,"46,490,226"
,"Dec 28, 2022",139.27,142.62,138.84,140.36,"35,106,645"
,"Dec 29, 2022",144.02,146.83,142.27,146.03,"35,492,324"
,"Dec 30, 2022",143.34,146.29,142.33,146.14,"31,048,983"
,"Jan 3, 2023",148.51,149.96,140.96,143.15,"40,127,658"
,"Jan 4, 2023",145.67,148.53,142.41,147.49,"43,132,360"
,"Jan 5, 2023",144.91,145.64,141.48,142.65,"38,916,811"
,"Jan 6, 2023",144.74,150.10,140.34,148.59,"40,504,362"
,"Jan 9, 2023",152.84,160.56,151.41,156.28,"50,423,056"
,"Jan 10, 2023",155.07,159.62,154.72,159.09,"38,410,126"
,"Jan 11, 2023",158.40,160.28,155.63,160.01,"35,328,493"
,"Jan 12, 2023",161.00,166.37,154.92,165.11,"55,140,906"
,"Jan 13, 2023",162.78,169.22,161.65,168.99,"44,728,706"
,"Jan 17, 2023",168.99,177.28,168.99,177.02,"51,110,216"
,"Jan 18, 2023",176.67,178.73,172.82,173.77,"43,962,355"
,"Jan 19, 2023",170.36,171.97,167.31,167.65,"45,293,160"
,"Jan 20, 2023",170.11,178.56,168.25,178.39,"56,496,712"
,"Jan 23, 2023",180.64,192.45,178.18,191.93,"65,516,259"
,"Jan 24, 2023",188.27,194.95,188.20,192.65,"49,620,410"
,"Jan 25, 2023",189.13,193.70,185.80,193.23,"44,953,711"
,"Jan 26, 2023",197.01,201.66,192.78,198.02,"48,953,542"
,"Jan 27, 2023",194.62,206.28,194.05,203.65,"54,214,198"
,"Jan 30, 2023",199.50,201.40,191.50,191.62,"48,861,115"
,"Jan 31, 2023",191.70,196.87,189.50,195.37,"49,801,658"
,"Feb 1, 2023",196.91,211.92,196.11,209.43,"66,047,704"
,"Feb 2, 2023",210.00,219.49,207.00,217.09,"56,427,580"
,"Feb 3, 2023",210.00,217.45,207.89,211.00,"42,936,595"
,"Feb 6, 2023",208.06,215.70,207.86,210.89,"45,219,709"
,"Feb 7, 2023",213.82,222.59,211.50,221.73,"66,414,961"
,"Feb 8, 2023",223.87,228.78,220.08,222.05,"55,965,122"
,"Feb 9, 2023",226.06,230.20,221.20,223.37,"52,387,578"
,"Feb 10, 2023",216.90,220.78,208.11,212.65,"55,073,675"
,"Feb 13, 2023",215.38,220.48,209.62,217.88,"47,491,862"
,"Feb 14, 2023",215.78,230.49,213.66,229.71,"67,547,350"
,"Feb 15, 2023",225.49,228.55,221.06,227.64,"42,118,826"
,"Feb 16, 2023",221.33,225.50,219.27,220.02,"41,202,628"
,"Feb 17, 2023",216.31,217.40,209.75,213.88,"46,588,764"
,"Feb 21, 2023",210.00,214.94,206.18,206.55,"41,001,455"
,"Feb 22, 2023",207.07,211.04,204.21,207.54,"51,318,432"
,"Feb 23, 2023",234.40,238.88,230.25,236.64,"111,799,541"
,"Feb 24, 2023",232.25,234.74,229.47,232.86,"58,971,591"
,"Feb 27, 2023",236.70,238.80,234.54,235.01,"45,299,367"
,"Feb 28, 2023",233.72,238.25,232.06,232.16,"45,596,280"
,"Mar 1, 2023",231.92,232.56,225.08,226.98,"46,002,562"
