,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,tcnnf,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Trulieve Cannabis Corp,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,5.51,,+0.06,+1.10%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"1,399M",-,1.85,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,tcnnf,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Nov 21, 2022",12.70,12.70,11.93,12.10,"155,391"
,"Nov 22, 2022",11.98,12.25,11.96,12.18,"92,251"
,"Nov 23, 2022",11.31,13.01,11.31,13.00,"432,637"
,"Nov 25, 2022",12.97,13.20,12.78,13.03,"196,024"
,"Nov 28, 2022",12.96,13.20,12.69,12.99,"231,265"
,"Nov 29, 2022",12.18,13.07,12.17,12.96,"304,589"
,"Nov 30, 2022",12.21,13.05,12.21,12.89,"207,539"
,"Dec 1, 2022",12.30,13.80,12.30,13.80,"258,205"
,"Dec 2, 2022",13.74,14.75,13.11,14.45,"500,198"
,"Dec 5, 2022",14.52,16.11,14.23,14.96,"839,455"
,"Dec 6, 2022",15.05,15.05,12.98,13.59,"894,514"
,"Dec 7, 2022",13.10,13.25,11.90,12.34,"483,764"
,"Dec 8, 2022",12.00,12.40,10.82,11.20,"423,019"
,"Dec 9, 2022",11.20,11.63,10.90,11.26,"471,764"
,"Dec 12, 2022",10.80,11.36,9.95,10.02,"341,477"
,"Dec 13, 2022",10.10,10.40,9.25,9.32,"388,210"
,"Dec 14, 2022",9.24,9.40,8.93,8.98,"399,606"
,"Dec 15, 2022",8.94,9.49,8.50,8.50,"510,388"
,"Dec 16, 2022",8.54,9.46,8.34,8.84,"792,016"
,"Dec 19, 2022",8.73,8.85,7.26,7.29,"812,919"
,"Dec 20, 2022",7.33,7.75,6.69,6.74,"1,400,870"
,"Dec 21, 2022",6.86,6.99,6.50,6.63,"1,112,312"
,"Dec 22, 2022",6.75,6.89,6.39,6.65,"788,127"
,"Dec 23, 2022",6.92,7.72,6.68,7.58,"808,501"
,"Dec 27, 2022",7.60,7.70,7.01,7.01,"508,429"
,"Dec 28, 2022",6.97,7.65,6.80,6.95,"708,963"
,"Dec 29, 2022",7.00,7.74,7.00,7.74,"594,440"
,"Dec 30, 2022",7.59,7.66,7.29,7.57,"836,590"
,"Jan 3, 2023",7.55,7.84,7.25,7.28,"315,059"
,"Jan 4, 2023",7.35,7.84,7.23,7.31,"267,029"
,"Jan 5, 2023",7.26,7.60,7.22,7.50,"206,009"
,"Jan 6, 2023",7.50,7.57,7.35,7.35,"146,291"
,"Jan 9, 2023",7.40,7.62,7.15,7.17,"288,234"
,"Jan 10, 2023",7.09,7.24,7.06,7.20,"162,300"
,"Jan 11, 2023",7.25,7.50,7.01,7.34,"308,527"
,"Jan 12, 2023",7.01,7.50,7.01,7.33,"194,674"
,"Jan 13, 2023",7.33,7.37,7.20,7.25,"144,887"
,"Jan 17, 2023",7.34,7.38,7.10,7.24,"213,686"
,"Jan 18, 2023",7.22,7.39,7.00,7.05,"306,250"
,"Jan 19, 2023",7.07,7.10,6.75,6.85,"273,604"
,"Jan 20, 2023",6.85,7.02,6.75,6.83,"430,010"
,"Jan 23, 2023",6.95,7.00,6.70,6.75,"371,969"
,"Jan 24, 2023",6.70,6.77,6.63,6.66,"412,316"
,"Jan 25, 2023",6.65,6.66,6.26,6.31,"742,075"
,"Jan 26, 2023",6.25,6.44,6.05,6.24,"529,641"
,"Jan 27, 2023",6.15,6.70,6.15,6.48,"411,175"
,"Jan 30, 2023",6.48,6.65,6.40,6.48,"1,370,457"
,"Jan 31, 2023",6.41,6.74,6.36,6.74,"617,895"
,"Feb 1, 2023",6.74,6.96,6.50,6.75,"366,507"
,"Feb 2, 2023",6.78,6.98,6.68,6.68,"363,351"
,"Feb 3, 2023",6.66,6.86,6.58,6.62,"250,011"
,"Feb 6, 2023",6.63,6.75,6.52,6.58,"119,997"
,"Feb 7, 2023",6.58,6.60,6.35,6.45,"287,677"
,"Feb 8, 2023",6.41,6.42,6.30,6.31,"171,592"
,"Feb 9, 2023",6.20,6.36,6.05,6.05,"300,003"
,"Feb 10, 2023",6.06,6.40,6.06,6.25,"250,658"
,"Feb 13, 2023",6.08,6.25,6.07,6.15,"262,692"
,"Feb 14, 2023",6.09,6.45,6.09,6.34,"180,775"
,"Feb 15, 2023",6.30,6.72,6.30,6.72,"278,704"
,"Feb 16, 2023",6.68,7.07,6.48,6.98,"308,841"
,"Feb 17, 2023",7.05,7.05,6.77,6.95,"221,130"
,"Feb 21, 2023",6.95,7.00,6.44,6.80,"264,339"
,"Feb 22, 2023",6.86,6.88,6.34,6.44,"258,705"
,"Feb 23, 2023",6.36,6.53,6.25,6.35,"262,489"
,"Feb 24, 2023",6.35,6.35,6.10,6.20,"250,891"
,"Feb 27, 2023",6.12,6.39,6.10,6.10,"101,355"
,"Feb 28, 2023",6.11,6.46,6.11,6.43,"258,360"
,"Mar 1, 2023",6.47,6.47,6.07,6.26,"229,388"
,"Mar 2, 2023",6.15,6.50,6.15,6.28,"201,441"
,"Mar 3, 2023",6.30,6.50,6.28,6.50,"2,131,651"
,"Mar 6, 2023",6.40,6.65,6.37,6.56,"215,824"
,"Mar 7, 2023",6.57,6.64,6.47,6.54,"160,008"
